part_num,name,dimensions
30299,Wedge Sloped Inverted 12 x 10 x 2 2/3 Cockpit,12 x 10 x 2
3030,Plate 4 x 10,4 x 10 x 1/3
3031,Plate 4 x 4,4 x 4 x 1/3
3032,Plate 4 x 6,4 x 6 x 1/3
3033,Plate 6 x 10,6 x 10 x 1/3
3034,Plate 2 x 8,2 x 8 x 1/3
3035,Plate 4 x 8,4 x 8 x 1/3
30350,Tile Special 2 x 3 with 2 Clips [Angled Clips],2 x 3 x 1/3
30357,Plate Round Corner 3 x 3,3 x 3 x 1/3
3036,Plate 6 x 8,6 x 8 x 1/3
30360,Cylinder 3 x 6 x 2 2/3 Horizontal Hollow Studs,3 x 6 x 2
30361,Brick Round 2 x 2 x 2 Robot Body - without Bottom Axle Holder,2 x 2 x 2
30363,Slope 18° 4 x 2,4 x 2
30367,Brick Round 2 x 2 Dome Top - Blocked Open Stud without Bottom Axle Holder,2 x 2
3037,Slope 45° 2 x 4,2 x 4
30373,Slope Inverted 65° 6 x 6 x 2 Quad with Cutouts,6 x 6 x 2
3037f,Slope 45° 2 x 4 Transparent 'Frosted' Horizontal Line,2 x 4
3038,Slope 45° 2 x 3,2 x 3
30382,Wedge Sloped 2 x 16 Triple,2 x 16
3039,Slope 45° 2 x 2,2 x 2
30390,Slope Inverted 45° 4 x 2 Double with Pins and Axle Hole Type 1 [+ Opening],4 x 2
3039f,Slope 45° 2 x 2 Transparent 'Frosted' Interior,2 x 2
30400,Brick 4 x 18,4 x 18
3040,Slope 45° 2 x 1 without Bottom Pin,2 x 1
3041,Slope 45° 2 x 4 Double,2 x 4
30414,Brick Special 1 x 4 with 4 Studs on One Side,1 x 4
3042,Slope 45° 2 x 3 Double,2 x 3
3043,Slope 45° 2 x 2 Double,2 x 2
3044,Slope 45° 2 x 1 Double without Bottom Pin,2 x 1
3045,Slope 45° 2 x 2 Double Convex,2 x 2
3046,Slope 45° 2 x 2 Double Concave,2 x 2
30474,Slope 33° 3 x 2 Smooth,3 x 2
3048,Slope 45° 2 x 1 Triple with Hollow Underside,2 x 1
3049,Slope 45° 2 x 1 Double / Inverted with Bottom Tube,2 x 1
3049d,Slope 45° 2 x 1 Double / Inverted with Bottom Stud Holder,2 x 1
30505,Wedge 3 x 3 Cut Corner,3 x 3
30520,Brick Special 2 x 8 with Axle hole at each End,2 x 8
30526,"Brick Special 1 x 2 with 2 Pins, Round Pin Holes",1 x 2
30528,Brick Arch 1 x 8 x 6 [Portal],1 x 8 x 6
30535,Engine 2 x 4 x 4,2 x 4 x 4
30562,"Panel 4 x 4 x 6 Quarter Cylinder with Stain Glass Window, Wood Panels/Beams",4 x 4 x 6
30565,Plate Round Corner 4 x 4,4 x 4 x 1/3
30586,Plate Special 2 x 8 with Door Rail,2 x 8 x 1/3
3058,Plate Special 6 x 16 with Motor Cutout Narrow,6 x 16 x 1/3
30598,Brick Special 2 x 2 Racer Driver Round Head (Plain),2 x 2
30599,Brick Special 2 x 2 Racer Driver Square Head (Plain),2 x 2
30600,Brick Curved 2 x 2 x 1 with Wings [Plain],2 x 2 x 1
30601,Brick Sloped 2 x 2 No Studs with Angled Side Block Extensions,2 x 2
30602,"Slope Curved 2 x 2 with Lip, No Studs",2 x 2
30603,"Slope 2 x 2 No Studs, with 3 Side Pistons Raised Edges",2 x 2
30613,Brick Arch 3 x 6 x 5 Ornamented,3 x 6 x 5
30614,Roof Piece 6 x 6 x 3 Peaked,6 x 6 x 3
3062,Brick Round 1 x 1 Solid Stud,1 x 1
3063,Brick Round Corner 2 x 2 Macaroni without Stud Notch,2 x 2
30645,Brick Special 12 x 12 Base with 4 Corner Pegs,12 x 12
3065,Brick 1 x 2 without Bottom Tube,1 x 2
3066,Brick 1 x 4 without Bottom Tubes,1 x 4
3067,Brick 1 x 6 with No Bottom Tubes,1 x 6
3068,Tile 2 x 2 without Groove,2 x 2 x 1/3
3069,Tile 1 x 2 without Groove,1 x 2 x 1/3
3070,Tile 1 x 1 without Groove,1 x 1 x 1/3
30971,Tile Special 2 x 3 Pentagonal Dummy for 70372,2 x 3 x 1/3
3134,Brick Special 1 x 2 with Cable Holding Cutout,1 x 2
3170,Plate Special 1 x 2 with 2 End Towballs,1 x 2 x 1/3
3172,Plate Special 1 x 2 with Pin Hole On Side,1 x 2 x 1/3
3176,Plate Special 3 x 2 with Hole,3 x 2 x 1/3
31760,Plate Special 3 x 2 with Hole (Train Coupler Closed) with Hook,3 x 2 x 1/3
31769,"Plate Special 3 x 2 with Hole with Metal Ring, Plastic Hoop (Key Chain)",3 x 2 x 1/3
3183,"Plate Special 1 x 4 with Towball Socket, Long, 2 Slots",1 x 4 x 1/3
3184,Plate Special 1 x 4 with Towball,1 x 4 x 1/3
32000,Technic Brick 1 x 2 [2 Pin Holes],1 x 2
32001,Technic Plate 2 x 6 [5 Holes],2 x 6 x 1/3
32018,Technic Brick 1 x 14 [13 Pin Holes],1 x 14
32028,Plate Special 1 x 2 with Door Rail,1 x 2 x 1/3
3204,Plate Special 2 x 2 with Sphere Holder,2 x 2 x 1/3
32064,Technic Brick 1 x 2 with Axle Hole Type 1 [+ Opening] and Bottom Pin,1 x 2
32083,Slope 45° 6 x 4 Double [aka Train Roof],6 x 4
32084,Wedge Sloped 6 x 8 Cutout,6 x 8
3220,Brick Curved 3 x 3 with Cutout,3 x 3
32333,Technic Pin Connector Block 1 x 5 x 3,1 x 5 x 3
3245,Brick 1 x 2 x 2 with Center Pin [Plain],1 x 2 x 2
3262,Brick Round 2 x 2 Dome Top - Vented Stud with Bottom Axle Holder x Shape + Orientation,2 x 2
32627,Plate Special Round 4 x 4 with 2 Studs [Plain],4 x 4 x 1/3
32739,Slope 4 x 6 x 2/3 Double,4 x 6 x 2/3
32803,Slope Curved 2 x 2 x 2/3 Inverted,2 x 2 x 2/3
32828,Plate Round 1 x 1 with Hollow Stud and Horizontal Bar 1L,1 x 1 x 1/3
32952,Brick Special 1 x 1 x 1 2/3 with Studs on 1 Side,1 x 1 x 1
3297,Slope 33° 3 x 4,3 x 4
3297mi,Minitalia Slope 33° 3 x 4 with Bottom X Supports,3 x 4
3298,Slope 33° 3 x 2,3 x 2
3298mi,Minitalia Slope 33° 3 x 2 with Bottom X Supports,3 x 2
3299,Slope 33° 2 x 4 Double,2 x 4
3299mi,Minitalia Slope 33° 2 x 4 Double with Bottom X Supports,2 x 4
3300,Slope 33° 2 x 2 Double,2 x 2
3307,Brick Arch 1 x 6 x 2 - Thick Top with Reinforced Underside,1 x 6 x 2
3308,Brick Arch 1 x 8 x 2,1 x 8 x 2
33215,Roof / Tower 6 x 8 x 9,6 x 8 x 9
33230,Brick Round Corner 16 x 16,16 x 16
33243,Brick Curved 1 x 3 x 2,1 x 3 x 2
33287,Brick Round 2 x 2 x 2 Dome Top with Cross Cut Slots,2 x 2 x 2
33798,Tile Special 2 x 3 Pentagonal Dummy for 70373,2 x 3 x 1/3
3388,Wedge Sloped 1 x 5 x 1 1/3 Left,1 x 5 x 1
3389,Wedge Sloped 1 x 5 x 1 1/3 Right,1 x 5 x 1
33909,Plate Special 2 x 2 with Only 2 studs,2 x 2 x 1/3
3395,Tile Special 2 x 4 Inverted,2 x 4 x 1/3
3396,Tile Special 2 x 2 with 2 Quarter Round Cutouts,2 x 2 x 1/3
34103,Plate Special 1 x 3 with 2 Studs with Groove and Inside Stud Holder (Jumper),1 x 3 x 1/3
3455,Brick Arch 1 x 6,1 x 6
3456,Plate 6 x 14,6 x 14 x 1/3
3460,Plate 1 x 8,1 x 8 x 1/3
34816,Brick Special 1 x 2 with Vertical Closed Handle on Edge,1 x 2
3491,Plate Special 2 x 5 with Towball Socket,2 x 5 x 1/3
35011,"BYGGLEK Lid, 32 x 44 x 2",32 x 44 x 2
35016,"BYGGLEK Lid, 11 x 16 x 1",11 x 16 x 1
35019,"BYGGLEK Lid, 16 x 22 x 1",16 x 22 x 1
3504,Wedge Sloped 2 x 5 Left,2 x 5
3505,Wedge Sloped 2 x 5 Right,2 x 5
35199,"BYGGLEK Lid, 22 x 32 x 2",22 x 32 x 2
3524,Slope Curved 4 x 5 x 1 2/3 with Captain America Face print,4 x 5 x 1
3536,"Plate Special 4 x 7 with 3 Slopes, Wedges, 3 Axle Holes",4 x 7 x 1/3
35394,Dish 4 x 4 Inverted with Open Stud [Radar],4 x 4 x 1/3
35442,Plate Special 2 x 2 Splat Gear with 6 Teeth,2 x 2 x 1/3
35443,Plate Special 4 x 4 Splat Gear with 10 Teeth,4 x 4 x 1/3
35446,Plate Special 6 x 6 Splat Gear with 14 Teeth,6 x 6 x 1/3
35459,Tile Special 1 x 3 Inverted with Center Hole,1 x 3 x 1/3
35464,Slope Double 45° 1 x 1,1 x 1
35470,Plate Special 3 x 5 Cloud with 3 Center Studs,3 x 5 x 1/3
35473,"Plate, Flower 4 x 4 Rounded Petals with Center Stud",4 x 4 x 1/3
35477,Brick Curved 3 x 1 with Round Ends,3 x 1
35480,Plate Special 1 x 2 Rounded with 2 Open Studs,1 x 2 x 1/3
35563,Tower Roof 2 x 4 x 4 Half Cone Shaped with Roof Tiles,2 x 4 x 4
3563,"Brick Curved 1 x 2 x 2/3 Double Curved Top, No Studs",1 x 2 x 2/3
35649,Tile Special 1 x 2 Diamond Plain,1 x 2 x 1/3
3567,Tile Special Round 2 x 2 Inverted,2 x 2 x 1/3
3569,Cone 4 x 4 x 3 with Axle Hole,4 x 4 x 3
3572,Brick Arch 1 x 5 x 2,1 x 5 x 2
3573,Brick Curved 1 x 4 x 1 2/3,1 x 4 x 1
35787,Tile 45° Cut 2 x 2,2 x 2 x 1/3
3581,Brick Special 1 x 1 x 2 with Shutter Holder,1 x 1 x 2
3622,Brick 1 x 3,1 x 3
3623,Plate 1 x 3,1 x 3 x 1/3
3659,Brick Arch 1 x 4,1 x 4
3660,"Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]",2 x 2
3661,Plate Round 1 x 1 with Vertical Bar,1 x 1 x 1/3
3665,Slope Inverted 45° 2 x 1,2 x 1
3666,Plate 1 x 6,1 x 6 x 1/3
3675,Slope 33° 3 x 3 Double Convex,3 x 3
3676,Slope Inverted 45° 2 x 2 Double Convex,2 x 2
3678,Slope 65° 2 x 2 x 2 Smooth without Bottom Tube,2 x 2 x 2
3684,Slope 75° 2 x 2 x 3 [Hollow Studs],2 x 2 x 3
3685,Slope 75° 2 x 2 x 3 Double Convex,2 x 2 x 3
