Quantities,PartID
1,11213
4,15573
8,11458
2,15456
9,72132
6,88646
2,4697
2,22388
8,3040
14,24201
1,18651
2,32531
5,61332
8,3070
17,3069
13,63864
28,2431
27,6636
4,14719
15,27925
8,3068
22,69729
2,79393
8,35787
67,25269
1,74698
2,15712
5,2412
2,18041
2,26601
2,2450
3,90194
2,60592
11,99781
3,59900
48,3710
5,3460
1,33909
2,60481
2,4287
2,68211
6,26604
2,3176
17,85984
14,50950
2,93273
6,35480
8,36841
8,77808
3,78329
12,3832
1,3033
15,20482
4,6117
1,2419
1,67329
2,60897
7,24866
23,3034
15,4162
63,87079
2,44728
3,3036
11,99206
14,11477
6,98138
1,96874
2,98280
3,2654
10,48336
14,54200
6,26603
4,24299
4,24307
1,65474
12,3005
14,3010
7,3009
15,3008
4,88292
13,32952
3,34816
28,30414
6,60479
2,4282
4,13547
2,61184
3,3673
2,1751
3,1748
4,49612
4,15068
9,24246
1,3035
1,41539
17,86876
2,44861
1,60470
1,22385
2,39739
2,87994
1,30374
9,85861
16,61252
2,15208
5,87580
14,99563
1,98383
5,3003
6,76797
1,33051
3,4032
4,79491
2,30565
1,49668
4,28192
4,3039
3,3713
2,43723
2,43722
2,13548
2,73825
7,92950
3,78522
1,4733
1,3032
1,74611
2,26047
2,18674
1,24316
2,3700
1,30505
2,2454
2,13965
1,3030
1,6179
1,3298
2,15672
2,3037
4,32064
4,3701
3,58176
1,30151
2,59349
2,6141
2,42509
1,64799
1,6177
1,32803
2,65249
1,10202
2,14769
1,83496
4,87620
1,51739
15,60475
1,10103
1,10104
11978-1,https://rebrickable.com/sets/11978-1/viking-ship/?inventory=1
2,28802
2,67329
2,3710
2,85984
1,99021
5,54200
4,50950
2,3023
2,2540
2,15712
2,36017
3,32062
6,98138
1,3034
2,15068
2,32034
1,3941
9,32828
1,60470
1,45677
60382-1,https://rebrickable.com/sets/60382-1/vet-van-rescue/?inventory=1
4,87697
1,6256
1,13786
1,2540
1,2432
2,3022
2,15573
1,18855
1,12622
3,93273
2,63864
1,2431
4,6014
2,53020
2,98138
1,29602
2,3062
1,2431
1,3823
2,93160
1,22886
1,50949
2,14718
1,3710
2,3460
1,60470
2,3839
2,85984
1,3829
1,3004
1,48336
1,33909
76249-1,https://rebrickable.com/sets/76249-1/venomized-groot/?inventory=1
9,3171
2,80497
3,40379
8,87747
7,13564
12,98313
3,3628
8,23443
2,36841
6,73825
15,99780
6,44728
2,99207
4,6091
2,47457
4,68013
5,30136
3,88704
2,3937
2,6134
1,75902
2,4865
8,3023
4,3623
15,3710
1,3666
9,2420
4,3021
12,2654
1,60474
3,68568
1,18646
8,26047
4,61252
32,35480
2,44861
2,92692
4,78256
2,18649
4,18677
2,11458
2,77850
11,27261
2,85984
5,28192
27,11477
12,29120
12,29119
7,32803
8,50950
1,24309
3,93604
3,93273
9,13547
5,45677
2,76959
1,32802
2,32062
3,53585
3,67696
3,48171
3,62462
3,66906
2,61332
2,27925
1,26603
21,25269
10,20482
3,15712
8,15209
2,24299
2,24307
9,51739
3,41770
3,41769
1,35789
1,4304
1,3003
4,28802
3,3941
10,11211
3,80431
2,4081
5,14704
2,14417
4,14419
1,64799
2,85943
5,89678
3,47455
2,35459
4,15573
6,26601
4,85861
1,11476
2,3795
1,11213
1,2540
6,54200
2,24201
9,15068
5,3069
2,32123
1,3709
13,3022
1,2431
2,98138
8,32607
3,3020
5,6141
1,49097
1,39789
5,32828
1,15462
2,36840
18,53451
1,3004
2,99563
1,14718
1,10105
